
Circuit: *ripple carry adder

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
xrca.xfa0.nodecon                     0.999958
b0                                           0
xrca.xfa0.node4                        0.16789
xrca.xfa0.1                           0.999989
vcc                                          1
a0                                           0
xrca.xfa0.5                           0.450106
xrca.xfa0.4                           0.999974
cin                                   0.539409
xrca.xfa0.2                           0.971381
xrca.xfa0.3                           0.236886
xrca.xfa0.nodeson                     0.327498
xrca.xfa0.9                           0.929608
xrca.xfa0.7                          0.0551888
xrca.xfa0.8                           0.885689
xrca.xfa0.6                           0.326482
xrca.cout0                          0.00483158
s0                                    0.879871
xrca.xfa1.nodecon                    0.0009164
b1                                           1
xrca.xfa1.node4                    0.000458477
xrca.xfa1.1                           0.295773
a1                                           1
xrca.xfa1.5                        3.38261e-07
xrca.xfa1.4                           0.673635
xrca.xfa1.2                           0.997688
xrca.xfa1.3                         0.00043081
xrca.xfa1.nodeson                     0.995377
xrca.xfa1.9                           0.996556
xrca.xfa1.7                        0.000983539
xrca.xfa1.8                           0.995377
xrca.xfa1.6                         0.00196681
xrca.cout1                            0.999131
s1                                  0.00530509
xrca.xfa2.nodecon                     0.999622
b2                                           0
xrca.xfa2.node4                       0.167828
xrca.xfa2.1                           0.999924
a2                                           0
xrca.xfa2.5                           0.709227
xrca.xfa2.4                           0.999773
xrca.xfa2.2                           0.995963
xrca.xfa2.3                         0.00845641
xrca.xfa2.nodeson                    0.0169496
xrca.xfa2.9                           0.993028
xrca.xfa2.7                         0.00739882
xrca.xfa2.8                           0.990085
xrca.xfa2.6                          0.0169499
xrca.cout2                          0.00486463
s2                                    0.998742
xrca.xfa3.nodecon                     0.998009
b3                                           1
xrca.xfa3.node4                       0.724622
xrca.xfa3.1                           0.999007
a3                                           0
xrca.xfa3.5                         0.00094642
xrca.xfa3.4                           0.999007
xrca.xfa3.2                           0.997768
xrca.xfa3.3                         0.00465846
xrca.xfa3.nodeson                   0.00933123
xrca.xfa3.9                            0.33036
xrca.xfa3.7                        4.24286e-07
xrca.xfa3.8                           0.268003
xrca.xfa3.6                         0.00460472
cout3                               0.00502709
s3                                    0.998945
v_dd#branch                       -2.74175e-05
vinb0#branch                       5.39579e-10
vinb1#branch                      -6.41495e-10
vinb2#branch                       5.68756e-10
vinb3#branch                      -5.06621e-10
vina0#branch                       4.31616e-10
vina1#branch                      -6.40251e-10
vina2#branch                        5.1519e-10
vina3#branch                       3.51246e-10


No. of Data Rows : 8208
k = 8.207000e+03
s0[k] = 8.798706e-01
