inA	inB	out atteso	out simul
0	0	0		0.000000	Matched
128	256	32768		32768.000000	Matched
256	256	65536		65536.000000	Matched
256	512	131072		131072.000000	Matched
512	512	262144		262144.000000	Matched
1024	512	524288		524288.000000	Matched
1024	1024	1048576		1048576.000000	Matched
1024	2048	2097152		2097152.000000	Matched
2048	2048	4194304		4194304.000000	Matched
4096	2048	8388608		8388608.000000	Matched
4096	4096	16777216		16777216.000000	Matched
8192	4096	33554432		33554432.000000	Matched
8192	8192	67108864		67108864.000000	Matched
16384	8192	134217728		134217728.000000	Matched
16384	16384	268435456		268435456.000000	Matched
32768	16384	536870912		536870912.000000	Matched
32768	32768	1073741824		1073741824.000000	Matched
65535	65535	4294836225		4294836225.000000	Matched
